parid,aprland,aprbldg,aprtot,rmbed,sfla,sale_month,sale_day,sale_year,sale_date,water_front,vegetation_front,price
6418608,56700,240954,297654,3,2023,5,29,2017,5/29/2017,1,1,70000
6428522,116280,0,116280,,,11,15,2018,11/15/2018,1,1,75000
6430209,44460,0,44460,,,9,4,2018,9/4/2018,1,1,52000
6638969,15400,52907,68307,1,675,5,18,2020,5/18/2020,1,1,70000
6639108,15400,52907,68307,1,675,6,9,2020,6/9/2020,1,1,80000
2010576,93357,8657,102014,2,684,7,9,2020,7/9/2020,1,1,80000
2012862,155500,0,155500,,,10,16,2018,10/16/2018,1,1,181400
2016442,56500,330,56830,,,12,29,2020,12/29/2020,1,1,165000
2162317,7875,0,7875,,,9,28,2020,9/28/2020,0,1,25000
2083433,30900,271069,301969,3,2163,11,18,2020,11/18/2020,1,1,395000
2094982,132000,282463,414463,4,2643,3,26,2018,3/26/2018,1,1,520000
2152869,10500,154476,164976,3,1349,2,15,2019,2/15/2019,1,1,185000
2152869,10500,154476,164976,3,1349,11,3,2017,11/3/2017,1,1,10900
2152877,5355,0,5355,,,6,24,2019,6/24/2019,1,1,12000
2153024,15212,0,15212,,,5,18,2020,5/18/2020,1,1,33000
2158425,7584,0,7584,,,7,30,2019,7/30/2019,1,1,9000
2164476,11813,155157,166970,3,1254,12,23,2020,12/23/2020,1,1,118000
2195797,34201,97302,131503,3,1064,7,17,2018,7/17/2018,1,1,160000
2482184,107250,304562,411812,3,1872,3,14,2018,3/14/2018,1,1,475000
2482346,89760,198809,288569,2,2190,4,19,2019,4/19/2019,1,1,370000
2482826,45000,217373,262373,4,1862,1,30,2017,1/30/2017,1,1,299900
2481404,97500,264370,361870,4,3482,3,6,2019,3/6/2019,1,1,449000
2481901,97500,273623,371123,3,3461,5,3,2018,5/3/2018,1,1,425000
2483873,223898,0,223898,,,10,11,2017,10/11/2017,1,1,275000
5201431,95500,0,95500,3,3016,8,24,2018,8/24/2018,1,1,108000
2755041,25542,118644,144186,3,1418,5,7,2018,5/7/2018,1,0,167500
6611238,0,256058,256058,3,1771,6,12,2019,6/12/2019,0,1,300000
6717851,0,278432,278432,3,1771,4,30,2019,4/30/2019,0,1,329000
6403236,0,203096,203096,2,1389,10,13,2017,10/13/2017,0,1,201000
6319863,0,209440,209440,2,1389,8,9,2019,8/9/2019,0,1,267000
7775549,33000,195012,228012,3,2056,6,6,2017,6/6/2017,1,1,254800
7168022,0,272720,272720,3,1698,11,6,2020,11/6/2020,0,1,375000
6082413,0,203780,203780,2,1453,4,16,2019,4/16/2019,0,1,250000
6869073,30000,148171,178171,3,1459,12,29,2017,12/29/2017,0,1,176900
6869081,30000,153274,183274,4,1852,4,9,2018,4/9/2018,0,1,205900
6869090,30000,147889,177889,3,1459,12,15,2017,12/15/2017,0,1,175900
7775557,35500,167135,202635,2,1510,6,20,2017,6/20/2017,1,1,229900
6082391,0,203780,203780,2,1453,3,6,2020,3/6/2020,0,1,249900
3141601,167850,2848,170698,,,1,2,2018,1/2/2018,0,1,250000
3145186,42188,0,42188,,,5,15,2018,5/15/2018,0,1,49500
3145534,31025,177009,208034,3,1830,8,14,2018,8/14/2018,0,1,210000
3145551,36500,206237,242737,3,2388,3,6,2017,3/6/2017,0,1,242000
3145615,36500,146826,183326,3,1512,4,6,2017,4/6/2017,0,1,215000
3145674,36500,225912,262412,3,1811,12,28,2020,12/28/2020,0,1,369800
3145739,36500,129360,165860,3,1329,3,29,2017,3/29/2017,0,1,170000
3145844,36500,108583,145083,2,1082,12,5,2019,12/5/2019,0,1,169000
2804432,21424,156621,178045,3,1425,11,5,2020,11/5/2020,1,0,229900
3145925,28929,108224,137153,3,2025,6,4,2020,6/4/2020,0,1,155000
6869162,30000,149521,179521,4,1752,1,30,2018,1/30/2018,0,1,186900
6869171,30000,131215,161215,3,1256,12,29,2017,12/29/2017,0,1,164900
6869197,30000,135396,165396,3,1260,1,30,2018,1/30/2018,0,1,166900
6319847,0,256480,256480,3,1698,8,16,2017,8/16/2017,0,1,290000
6563063,0,278432,278432,3,1771,4,28,2017,4/28/2017,0,1,290000
2817496,23200,176497,199697,4,2215,3,27,2019,3/27/2019,1,0,217000
6319600,0,250600,250600,3,1768,9,20,2018,9/20/2018,0,1,295000
5912965,0,217504,217504,2,1325,12,7,2020,12/7/2020,0,1,255000
2940506,16100,61305,77405,2,897,2,18,2020,2/18/2020,0,1,98500
2940913,17227,61305,78532,2,897,6,4,2019,6/4/2019,0,1,82000
4081640,17227,62286,79513,2,897,8,16,2018,8/16/2018,0,1,96000
2823950,26390,184989,211379,4,2801,11,7,2018,11/7/2018,1,0,236000
4080988,17227,62286,79513,2,897,6,2,2017,6/2/2017,0,1,75000
4512063,9690,0,9690,,,2,17,2017,2/17/2017,0,1,10000
2938226,17227,61868,79095,2,897,11,21,2019,11/21/2019,0,1,85000
4048308,0,392784,392784,2,1240,6,28,2017,6/28/2017,0,1,465000
3862589,0,327246,327246,3,1126,6,11,2018,6/11/2018,0,1,470000
6467897,0,186500,186500,2,1389,8,24,2020,8/24/2020,0,1,250000
4893270,0,191272,191272,2,1350,6,13,2019,6/13/2019,0,1,225000
6875006,20000,118222,138222,2,1204,9,14,2018,9/14/2018,0,1,148000
4549897,0,190196,190196,2,1275,5,14,2019,5/14/2019,0,1,211000
4625305,0,376616,376616,3,1853,8,3,2020,8/3/2020,0,1,405000
4625402,0,275715,275715,3,1853,10,22,2020,10/22/2020,0,1,347000
4625186,0,369814,369814,3,1853,5,4,2017,5/4/2017,0,1,406400
2179775,22500,132297,154797,3,1643,11,23,2020,11/23/2020,0,1,199900
2179848,20375,97259,117634,2,864,11,1,2018,11/1/2018,0,1,140000
2838337,18681,132640,151321,3,1573,11,1,2018,11/1/2018,1,0,180000
7776405,0,230823,230823,2,1384,5,3,2017,5/3/2017,0,1,270000
6418187,65000,249717,314717,3,2250,3,27,2019,3/27/2019,1,1,350000
3861086,0,259160,259160,1,928,10,18,2018,10/18/2018,0,1,299000
2839074,30553,188784,219337,4,2199,6,23,2017,6/23/2017,1,0,250000
6717877,0,292640,292640,3,2020,5,2,2019,5/2/2019,0,1,375000
2853379,39060,173782,212842,4,2332,6,5,2017,6/5/2017,1,0,215000
6082341,0,193148,193148,2,1453,4,4,2019,4/4/2019,0,1,237000
2863927,24360,129656,154016,3,1332,5,24,2018,5/24/2018,1,0,171500
2864117,18228,0,18228,3,1841,6,24,2020,6/24/2020,1,0,247900
6082341,0,193148,193148,2,1453,11,17,2020,11/17/2020,0,1,265000
6128154,0,237245,237245,3,1698,9,13,2019,9/13/2019,0,1,282500
2868104,14780,0,14780,3,1492,10,1,2019,10/1/2019,1,0,17500
2869216,17710,179282,196992,3,1816,3,16,2018,3/16/2018,1,0,17000
6248028,0,256480,256480,3,1698,11,21,2018,11/21/2018,0,1,315000
2883324,24684,168812,193496,4,1836,4,30,2019,4/30/2019,1,0,235000
6959731,0,207030,207030,2,1389,1,28,2020,1/28/2020,0,1,259000
3168283,23988,145514,169502,3,1374,8,1,2019,8/1/2019,0,1,195000
2180765,20000,68013,88013,2,748,1,31,2017,1/31/2017,0,1,65000
3418255,510972,962686,1473658,5,5464,4,30,2018,4/30/2018,1,0,1700000
6959757,0,275600,275600,3,1768,4,29,2019,4/29/2019,0,1,320000
2887354,22020,147494,169514,3,2176,4,27,2020,4/27/2020,1,0,185000
6717826,0,237245,237245,3,1698,8,23,2018,8/23/2018,0,1,265000
8001709,59000,248278,307278,2,1922,3,14,2019,3/14/2019,1,0,388100
8003284,39000,0,39000,4,2357,4,13,2020,4/13/2020,1,0,283300
2030879,18600,74867,93467,2,1102,7,19,2017,7/19/2017,0,1,120000
7775573,33000,196326,229326,3,2056,12,28,2020,12/28/2020,1,1,275000
6563039,0,237245,237245,3,1698,1,15,2019,1/15/2019,0,1,305000
2912111,20794,129071,149865,3,1294,11,17,2017,11/17/2017,1,0,149900
6717770,0,208844,208844,2,1389,6,29,2018,6/29/2018,0,1,245000
2941219,20500,188462,208962,3,1635,8,27,2018,8/27/2018,1,1,260000
6811709,0,209502,209502,3,1601,10,14,2019,10/14/2019,0,1,279000
2963484,322500,272566,595066,4,3354,12,18,2020,12/18/2020,1,1,840000
7943735,0,258944,258944,2,1384,5,23,2018,5/23/2018,0,1,305000
3043740,415800,552773,968573,5,4577,1,27,2020,1/27/2020,1,0,1075000
3042689,764400,0,764400,,,2,5,2019,2/5/2019,1,0,1010000
7943735,0,258944,258944,2,1384,11,11,2020,11/11/2020,0,1,339400
7775719,31500,170839,202339,2,1510,7,11,2018,7/11/2018,1,1,245600
7943646,0,320330,320330,3,1773,2,26,2018,2/26/2018,0,1,370000
3629639,30113,130364,160477,3,1428,7,12,2017,7/12/2017,1,0,170500
2465697,9087165,5893,9093058,,,11,15,2019,11/15/2019,1,0,10517500
2763736,17040,174699,191739,3,1636,10,23,2019,10/23/2019,1,0,232000
2763744,15687,134947,150634,3,1220,9,14,2020,9/14/2020,1,0,170000
2768517,16800,159964,176764,4,1716,6,28,2019,6/28/2019,1,1,195000
